title,nickname,read_time,img_src,id,herf,introduction,fav,share,comment
班主任告诉过我离开就没回头路,总会有个地方睡觉吃饭,56648,http://p2.music.126.net/rjp6VchKfkezCEjcjFfq5g==/109951167873914017.jpg?param=140y140,7635771823,https://music.163.com/playlist?id=7635771823,"介绍：
记住我叫姜云升，
唱到你会用我的歌给手机当铃声，
所以现在才要唱，
唱到我出现在你家的卧室海报上，
记住这家伙的脸 记住这家伙的疯，
献给喝过的酒和曾经刮骨的风，
当年选择hiphop选择了去中途继承，
...
",206,2,0
嘻哈说唱|搭乘嘻哈飞船 坠入浪漫的虚无主义,Just-7ccc,22241,http://p2.music.126.net/ocTX65qx4922bObp0E-MVw==/109951167991557907.jpg?param=140y140,7654967396,https://music.163.com/playlist?id=7654967396,"介绍：
把我偷走吧 浪漫的收藏家！！！
祝你，历遍山河，依然觉得人生值得。敬我，往后余生，水远山长安适如常！！！！！
感谢聆听！！！！！！！！
",160,3,0
「Hip-hop研究所」潮酷出街丨开启你的Swag,丨IIIIIIIIII丨,193万,http://p2.music.126.net/946c83afhfEMe2wJomUuXg==/109951165361809222.jpg?param=140y140,5269453086,https://music.163.com/playlist?id=5269453086,"介绍：
律动的节奏感，带动你的神经，在炫酷的氛围中找到精神共鸣。

嘻哈是一种力量，诞生自阴影中，象征着美好的未来。
反映的是一种真实，是一种无畏，是一种对待事情的感性思考。

每个人都可以很嘻哈，每个人...
",22054,503,62
国语说唱｜黎明的曙光 是漆黑暗夜中的希望,蛋壳Maxd,62595,http://p2.music.126.net/YUBMB22X0Rb-gpYEEcVL_Q==/109951167856123683.jpg?param=140y140,7627626385,https://music.163.com/playlist?id=7627626385,"介绍：
只有不畏攀登的采药者，才能登上高峰采得仙草。
只有不怕巨浪的弄潮儿，才能深入水底觅得骊珠。
",502,12,1
"GAI周延|梦想不要怕太大,开口就是王炸",网易云音乐,40万,http://p2.music.126.net/zrxbCLDEwPYD4QsA21tDyQ==/109951168047259525.jpg?param=140y140,7737156437,https://music.163.com/playlist?id=7737156437,"介绍：
GAI周延（D.M.G）种梦音乐签约艺人。 新华流说唱领军人物。《我是唱作人》冠军战队，《我们的歌》冠军组合，《中国新说唱2020》明星主理人《2021少年说唱企划》《草莓星球来的人》导师，《披荆斩棘的哥哥》...
",2673,66,107
"颜社版权回归 | 宝岛""嘻哈囝"",欢迎加入群聊",网易云音乐,40万,http://p2.music.126.net/x8T3dGvfsDYmf_IddHXLgw==/109951168020804113.jpg?param=140y140,7708843538,https://music.163.com/playlist?id=7708843538,"介绍：
顏社由迪拉胖2005年和同一群热爱嘻哈饶舌音乐的伙伴们一起成立，期间合作过的艺人有饶舌诗人蛋堡、嘻哈女皇葛仲珊、李英宏 a.k.a. Dj Didilong，现在旗下的艺人包括国蛋 a.k.a. Dr.Paper、夜猫组、Leo王、...
",5958,416,316
别急甜甜的恋爱马上就轮到你了,芳心收集人士,51万,http://p2.music.126.net/otX4OUyIqA1oXw8LkzZ0HQ==/109951168006050524.jpg?param=140y140,7582586641,https://music.163.com/playlist?id=7582586641,"介绍：
你相信吗
未来要和你共度一生的那个人
其实在与你相同的时间里 
也忍受着同样的孤独
那个人一定也怀着满心的期待
马不停蹄地赶来和你碰面
",4387,235,71
『忏悔录』emo走心励志旋律情歌中文说唱,芳心收集人士,57万,http://p2.music.126.net/rqxR0AiSXCnv7bzsQRQArg==/109951167725978368.jpg?param=140y140,7561470247,https://music.163.com/playlist?id=7561470247,"介绍：
歌单收录了各种风格的中文说唱 好歌又不是感冒灵 不一定要999+ 带你发掘那些国产rapper的宝藏歌曲

喜欢歌单的可以收藏关注不迷路 好听到可以单曲循环 歌单持续更新中～
",5700,143,23
旋律说唱｜好听不腻的hook ,张以晨_,145万,http://p2.music.126.net/976BQe1L6KrvqqrxIyae4Q==/109951167345487698.jpg?param=140y140,7397817902,https://music.163.com/playlist?id=7397817902,"介绍：
我想与你分享日常琐事
今天天气很好
天空也很蓝
也想悄悄告诉你
很多你不知道的秘密
喜欢听说唱的你
欢乐就会加倍
你一定不能错过这些好听不腻的旋律说唱 ！
",10697,123,24
rapper说情话 今晚也想跟你,决劣,1432万,http://p2.music.126.net/ihVnqZxqBt7wXaKYPRkvfw==/109951166124374544.jpg?param=140y140,814839177,https://music.163.com/playlist?id=814839177,"介绍：
评论区留喜欢文案
你有一份超甜rap情话歌单请查收
",18万,3281,1504
甜饼说唱｜超甜的情话只对你说,0000FF少抽烟,58万,http://p2.music.126.net/bslHT3ydTfokt-SgV5vjhQ==/109951167743916727.jpg?param=140y140,7571357089,https://music.163.com/playlist?id=7571357089,"介绍：
甜蜜说唱又来啦，治愈疲惫上班心灵的只有甜甜的歌曲和甜甜的恋爱。歌单精选了节奏感强但是曲风柔和的甜系说唱歌 曲，快来收藏这份甜蜜吧！
",3398,46,27
